NcbiTaxId, Genus, Species, Strain
3702,Arabidopsis,thaliana,
3702,Arabidopsis,thaliana,Columbia Col-0
9606,Homo,sapiens,
9606,Homo,sapiens,CFBE41o cells
9606,Homo,sapiens,16HBE14o cells
9606,Homo,sapiens,A549 cells
4513,Hordeum,vulgare,Atlas
4513,Hordeum,vulgare,Atlas 46
10090,Mus,musculus,
10090,Mus,musculus,129SvJ
10090,Mus,musculus,A/J
4565,Triticum,aestivum,
4565,Triticum,aestivum,6B662
4565,Triticum,aestivum,Amery
4565,Triticum,aestivum,Bess
4565,Triticum,aestivum,BG220
4565,Triticum,aestivum,Bobwhite
