NcbiTaxSpeciesId,SpeciesCommonName,StrainName,Synonyms
746128,Aspergillus fumigatus,237
746128,Aspergillus fumigatus,293.1
746128,Aspergillus fumigatus,A1160,"A1160-a,a1160-b"
746128,Aspergillus fumigatus,A1160C
746128,Aspergillus fumigatus,A1160P
5476,Candida albicans,10261
5476,Candida albicans,10560-B
5476,Candida albicans,A72
5476,Candida albicans,ATCC 10261
5476,Candida albicans,BWP17
5518,Fusarium graminearum,1104-14
5518,Fusarium graminearum,16A
5518,Fusarium graminearum,2021
5518,Fusarium graminearum,5035
5518,Fusarium graminearum,54606
5518,Fusarium graminearum,CS3005
5518,Fusarium graminearum,DAOM233423
5518,Fusarium graminearum,DAOM180378
5207,Cryptococcus neoformans,Serotype D ATCC208819
5207,Cryptococcus neoformans,B-3501
5207,Cryptococcus neoformans,B-4476
5207,Cryptococcus neoformans,B-4500
5207,Cryptococcus neoformans,B4131
